"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-3-25","1,833.44","1,912.81","1,871.06","1,833.10","1.28B","-1.91%"
"2024-3-22","1,869.17","1,912.81","1,897.31","1,860.35","1.87B","-1.47%"
"2024-3-21","1,897.09","1,912.81","1,920.55","1,897.05","1.85B","-0.64%"
"2024-3-20","1,909.25","1,898.18","1,915.46","1,897.60","1.76B","0.12%"
"2024-3-19","1,906.94","1,917.92","1,925.69","1,906.94","1.96B","-1.01%"
"2024-3-18","1,926.40","1,906.12","1,926.40","1,902.13","2.19B","2.25%"
"2024-3-15","1,884.09","1,877.57","1,886.95","1,848.22","1.79B","0.06%"
"2024-3-14","1,883.02","1,895.73","1,912.11","1,870.02","1.80B","-0.64%"
"2024-3-13","1,895.15","1,911.98","1,911.98","1,890.66","1.85B","-0.57%"
"2024-3-12","1,906.04","1,896.45","1,915.09","1,885.64","2.21B","0.83%"
"2024-3-11","1,890.41","1,817.07","1,890.87","1,812.79","2.21B","4.60%"
"2024-3-8","1,807.29","1,793.51","1,813.10","1,779.77","1.46B","0.97%"
"2024-3-7","1,789.94","1,830.26","1,838.71","1,789.87","1.67B","-2.33%"
"2024-3-6","1,832.58","1,822.54","1,855.61","1,810.90","1.58B","-0.06%"
"2024-3-5","1,833.66","1,818.59","1,843.08","1,813.27","1.87B","-0.06%"
"2024-3-4","1,834.83","1,827.13","1,847.25","1,817.66","1.97B","0.59%"
"2024-3-1","1,824.03","1,808.20","1,830.94","1,795.85","2.08B","0.94%"
"2024-2-29","1,807.03","1,739.97","1,809.66","1,739.97","2.16B","3.32%"
"2024-2-28","1,748.97","1,799.61","1,829.14","1,748.97","26.74K","-2.51%"
"2024-2-27","1,793.98","1,743.49","1,793.98","1,740.83","1.99B","2.41%"
"2024-2-26","1,751.70","1,752.76","1,768.10","1,738.33","1.80B","-0.37%"
"2024-2-23","1,758.19","1,766.96","1,767.26","1,742.49","1.71B","0.02%"
"2024-2-22","1,757.87","1,752.79","1,761.12","1,742.29","15.38K","0.31%"
"2024-2-21","1,752.48","1,728.45","1,783.81","1,724.29","2.06B","0.36%"
"2024-2-20","1,746.18","1,739.03","1,749.27","1,722.49","1.58B","-0.01%"
"2024-2-19","1,746.42","1,752.86","1,752.86","1,722.99","20.83K","1.13%"
"2024-2-8","1,726.86","1,716.63","1,764.39","1,713.77","2.45B","1.16%"
"2024-2-7","1,707.02","1,663.18","1,711.42","1,658.46","2.62B","2.37%"
"2024-2-6","1,667.45","1,544.96","1,668.89","1,544.50","2.44B","6.71%"
"2024-2-5","1,562.61","1,534.19","1,600.33","1,482.99","2.34B","0.79%"
"2024-2-2","1,550.37","1,585.96","1,595.98","1,512.10","17.76K","-2.43%"
"2024-2-1","1,589.04","1,564.37","1,616.40","1,563.88","15.54K","1.00%"
"2024-1-31","1,573.37","1,585.21","1,601.89","1,573.18","16.54K","-0.66%"
"2024-1-30","1,583.77","1,613.46","1,631.53","1,582.42","12.70K","-2.47%"
"2024-1-29","1,623.81","1,680.15","1,685.58","1,623.81","14.26K","-3.49%"
"2024-1-26","1,682.48","1,703.48","1,714.36","1,679.34","15.71K","-2.23%"
"2024-1-25","1,720.78","1,686.55","1,720.85","1,672.16","17.79K","1.45%"
"2024-1-24","1,696.19","1,696.56","1,700.77","1,642.16","16.99K","0.51%"
"2024-1-23","1,687.61","1,663.98","1,700.57","1,655.27","15.32K","1.24%"
"2024-1-22","1,666.88","1,710.29","1,714.93","1,657.35","17.00K","-2.83%"
"2024-1-19","1,715.44","1,736.63","1,743.30","1,714.51","13.04K","-0.98%"
"2024-1-18","1,732.36","1,685.94","1,735.09","1,678.50","17.95K","1.93%"
"2024-1-17","1,699.62","1,747.77","1,747.77","1,699.62","11.85K","-3.00%"
"2024-1-16","1,752.23","1,752.29","1,755.38","1,724.66","12.87K","0.38%"
"2024-1-15","1,745.61","1,745.25","1,766.26","1,738.54","11.12K","-0.88%"
"2024-1-12","1,761.16","1,768.24","1,785.05","1,761.16","12.32K","-0.91%"
"2024-1-11","1,777.27","1,744.30","1,790.33","1,739.16","14.65K","1.95%"
"2024-1-10","1,743.20","1,741.13","1,771.68","1,741.13","11.88K","-0.43%"
"2024-1-9","1,750.78","1,749.77","1,774.32","1,738.01","11.76K","0.36%"
"2024-1-8","1,744.41","1,769.32","1,779.38","1,744.41","11.78K","-1.76%"
"2024-1-5","1,775.58","1,798.82","1,815.07","1,765.88","11.54K","-1.45%"
"2024-1-4","1,801.76","1,816.19","1,818.40","1,794.03","11.29K","-1.80%"
"2024-1-3","1,834.73","1,850.16","1,856.44","1,825.55","11.39K","-1.14%"
"2024-1-2","1,855.92","1,889.02","1,889.02","1,855.77","12.19K","-1.87%"
"2023-12-29","1,891.37","1,879.53","1,897.67","1,878.04","14.38K","0.63%"
"2023-12-28","1,879.50","1,806.79","1,885.91","1,804.88","17.39K","3.85%"
"2023-12-27","1,809.83","1,813.05","1,818.05","1,796.81","11.12K","0.07%"
"2023-12-26","1,808.50","1,828.56","1,829.87","1,801.38","9.52K","-1.26%"
"2023-12-25","1,831.57","1,820.25","1,838.13","1,820.22","9.56K","0.31%"
"2023-12-22","1,825.84","1,827.68","1,848.31","1,815.44","13.89K","-0.37%"
"2023-12-21","1,832.62","1,795.27","1,840.81","1,793.28","13.08K","1.65%"
"2023-12-20","1,802.88","1,830.72","1,832.19","1,802.39","9.99K","-1.36%"
"2023-12-19","1,827.67","1,820.92","1,837.84","1,814.57","10.37K","0.42%"
"2023-12-18","1,820.00","1,839.32","1,845.92","1,814.93","10.64K","-1.54%"
"2023-12-15","1,848.50","1,869.51","1,877.78","1,844.18","11.43K","-0.65%"
"2023-12-14","1,860.51","1,884.55","1,895.60","1,859.25","10.55K","-0.63%"
"2023-12-13","1,872.34","1,899.34","1,899.93","1,871.82","11.33K","-1.66%"
"2023-12-12","1,903.87","1,909.60","1,913.29","1,899.56","12.38K","-0.62%"
"2023-12-11","1,915.74","1,880.58","1,919.84","1,866.09","15.59K","1.25%"
"2023-12-8","1,892.18","1,881.10","1,896.71","1,870.88","17.21K","0.80%"
"2023-12-7","1,877.21","1,870.21","1,888.75","1,865.80","13.86K","-0.25%"
"2023-12-6","1,881.94","1,867.50","1,898.57","1,866.90","14.15K","0.58%"
"2023-12-5","1,871.10","1,896.65","1,905.62","1,870.98","13.13K","-1.98%"
"2023-12-4","1,908.92","1,913.65","1,926.15","1,908.53","13.77K","-0.90%"
"2023-12-1","1,926.28","1,922.37","1,934.06","1,905.82","12.67K","0.19%"
"2023-11-30","1,922.59","1,915.05","1,930.38","1,912.17","11.57K","0.24%"
"2023-11-29","1,917.90","1,934.55","1,937.70","1,917.90","11.02K","-1.06%"
"2023-11-28","1,938.42","1,923.36","1,938.65","1,918.51","11.34K","0.63%"
"2023-11-27","1,926.20","1,936.61","1,936.61","1,916.55","10.81K","-0.61%"
"2023-11-24","1,937.94","1,960.38","1,960.38","1,935.00","10.85K","-1.19%"
"2023-11-23","1,961.35","1,945.90","1,961.35","1,940.21","11.18K","0.58%"
"2023-11-22","1,950.01","1,974.32","1,977.07","1,950.01","12.23K","-1.73%"
"2023-11-21","1,984.27","2,001.07","2,014.48","1,981.29","14.58K","-0.44%"
"2023-11-20","1,992.97","1,987.85","1,998.10","1,969.92","1.39B","0.32%"
"2023-11-17","1,986.53","1,971.22","1,986.67","1,971.22","11.45K","0.43%"
"2023-11-16","1,978.12","2,012.20","2,012.20","1,978.12","13.09K","-1.85%"
"2023-11-15","2,015.36","2,032.26","2,033.03","2,008.56","16.03K","0.53%"
"2023-11-14","2,004.81","2,008.29","2,024.66","1,995.76","1.42B","-0.22%"
"2023-11-13","2,009.21","2,018.83","2,022.84","1,998.02","1.44B","0.20%"
"2023-11-10","2,005.24","2,006.09","2,011.91","2,001.36","13.81K","-0.65%"
"2023-11-9","2,018.38","2,019.69","2,035.42","2,013.55","15.02K","-0.23%"
