Date,Open,High,Low,Close,Adj Close,Volume
2013-07-18,2.648210,2.648210,2.648210,2.648210,2.648210,0
2013-07-19,2.650860,2.650860,2.650860,2.650860,2.650860,0
2013-07-22,null,null,null,null,null,null
2013-07-23,null,null,null,null,null,null
2013-07-24,2.687000,2.687000,2.687000,2.687000,2.687000,0
2013-07-25,null,null,null,null,null,null
2013-07-26,2.665000,2.665000,2.665000,2.665000,2.665000,0
2013-07-29,2.633000,2.640000,2.614000,2.626000,2.626000,140433577
2013-07-30,2.632000,2.648000,2.632000,2.646000,2.646000,92993109
2013-07-31,2.643000,2.659000,2.640000,2.657000,2.657000,69976156
2013-08-01,2.653000,2.656000,2.635000,2.643000,2.643000,30006438
2013-08-02,2.630000,2.632000,2.558000,2.578000,2.578000,33021891
2013-08-05,2.621000,2.642000,2.621000,2.630000,2.630000,24012032
2013-08-06,2.620000,2.620000,2.586000,2.591000,2.591000,22336052
2013-08-07,2.562000,2.582000,2.560000,2.574000,2.574000,19501857
2013-08-08,2.588000,2.597000,2.583000,2.586000,2.586000,12626896
2013-08-09,2.625000,2.630000,2.611000,2.616000,2.616000,13213795
2013-08-12,2.656000,2.660000,2.649000,2.659000,2.659000,19916360
2013-08-13,2.662000,2.680000,2.658000,2.675000,2.675000,14718160
2013-08-14,2.640000,2.652000,2.637000,2.640000,2.640000,11130351
2013-08-15,2.680000,2.689000,2.674000,2.680000,2.680000,17191989
2013-08-16,2.730000,2.743000,2.710000,2.712000,2.712000,18664881
2013-08-19,2.740000,2.752000,2.733000,2.737000,2.737000,14228539
2013-08-20,2.725000,2.729000,2.699000,2.705000,2.705000,8921362
2013-08-21,2.720000,2.734000,2.718000,2.724000,2.724000,6369008
2013-08-22,2.717000,2.721000,2.710000,2.714000,2.714000,4756443
2013-08-23,2.731000,2.737000,2.724000,2.733000,2.733000,9361162
2013-08-26,2.770000,2.781000,2.765000,2.772000,2.772000,8727286
2013-08-27,2.772000,2.782000,2.771000,2.779000,2.779000,6336802
2013-08-28,2.810000,2.837000,2.800000,2.827000,2.827000,14239869
2013-08-29,2.808000,2.808000,2.784000,2.796000,2.796000,7396574
2013-08-30,2.781000,2.798000,2.781000,2.787000,2.787000,8631178
2013-09-02,2.770000,2.775000,2.761000,2.767000,2.767000,6896895
2013-09-03,2.770000,2.770000,2.760000,2.762000,2.762000,3896815
2013-09-04,2.791000,2.802000,2.784000,2.787000,2.787000,9480610
2013-09-05,2.765000,2.767000,2.745000,2.751000,2.751000,5750474
2013-09-06,2.730000,2.730000,2.719000,2.725000,2.725000,6594294
2013-09-09,2.751000,2.761000,2.751000,2.756000,2.756000,4079357
2013-09-10,2.756000,2.756000,2.737000,2.742000,2.742000,9294001
2013-09-11,2.712000,2.722000,2.700000,2.722000,2.722000,5937809
2013-09-12,2.714000,2.714000,2.676000,2.682000,2.682000,4885575
2013-09-13,2.655000,2.655000,2.608000,2.622000,2.622000,9302931
2013-09-16,2.636000,2.647000,2.631000,2.631000,2.631000,4727727
2013-09-17,2.615000,2.616000,2.604000,2.609000,2.609000,4041727
2013-09-18,2.585000,2.590000,2.568000,2.589000,2.589000,9692651
2013-09-23,2.618000,2.636000,2.609000,2.629000,2.629000,7860273
2013-09-24,2.628000,2.633000,2.621000,2.622000,2.622000,5245488
2013-09-25,2.622000,2.633000,2.621000,2.629000,2.629000,3117444
2013-09-26,2.636000,2.644000,2.631000,2.632000,2.632000,3558817
2013-09-27,2.625000,2.626000,2.618000,2.622000,2.622000,5737501
2013-09-30,2.633000,2.650000,2.633000,2.649000,2.649000,3166558
2013-10-08,2.638000,2.638000,2.626000,2.630000,2.630000,3119827
2013-10-09,2.625000,2.625000,2.612000,2.615000,2.615000,4958316
2013-10-10,2.588000,2.598000,2.588000,2.595000,2.595000,4941113
2013-10-11,2.574000,2.576000,2.566000,2.569000,2.569000,6301104
2013-10-14,2.540000,2.543000,2.532000,2.543000,2.543000,7780725
2013-10-15,2.538000,2.539000,2.529000,2.533000,2.533000,9691603
2013-10-16,2.540000,2.550000,2.538000,2.549000,2.549000,10926177
2013-10-17,2.552000,2.555000,2.525000,2.531000,2.531000,4716629
2013-10-18,2.591000,2.606000,2.591000,2.605000,2.605000,12044691
2013-10-21,2.600000,2.608000,2.560000,2.608000,2.608000,5543057
2013-10-22,2.589000,2.595000,2.586000,2.595000,2.595000,2821310
2013-10-23,2.623000,2.637000,2.621000,2.624000,2.624000,5489447
2013-10-24,2.626000,2.626000,2.614000,2.624000,2.624000,4725435
2013-10-25,2.624000,2.631000,2.616000,2.619000,2.619000,3593692
2013-10-28,2.634000,2.638000,2.624000,2.626000,2.626000,13332469
2013-10-29,2.632000,2.645000,2.630000,2.639000,2.639000,5023958
2013-10-30,2.620000,2.634000,2.612000,2.631000,2.631000,4521849
2013-10-31,2.618000,2.620000,2.607000,2.613000,2.613000,1966879
2013-11-01,2.595000,2.603000,2.589000,2.602000,2.602000,2440723
2013-11-04,2.603000,2.603000,2.580000,2.584000,2.584000,5231883
2013-11-05,2.585000,2.589000,2.578000,2.582000,2.582000,3757852
2013-11-06,2.579000,2.580000,2.570000,2.578000,2.578000,2367648
2013-11-07,2.580000,2.589000,2.579000,2.589000,2.589000,2269500
2013-11-08,2.580000,2.580000,2.565000,2.573000,2.573000,2525769
2013-11-11,2.535000,2.535000,2.523000,2.529000,2.529000,5121855
2013-11-12,2.527000,2.527000,2.511000,2.517000,2.517000,6627677
2013-11-13,2.503000,2.505000,2.496000,2.501000,2.501000,4315885
2013-11-14,2.506000,2.523000,2.506000,2.516000,2.516000,4446858
2013-11-15,2.521000,2.532000,2.519000,2.526000,2.526000,3751744
2013-11-18,2.529000,2.529000,2.515000,2.527000,2.527000,3623036
2013-11-19,2.520000,2.520000,2.496000,2.501000,2.501000,5072062
2013-11-20,2.501000,2.508000,2.500000,2.508000,2.508000,3838639
2013-11-21,2.488000,2.489000,2.461000,2.463000,2.463000,5986667
2013-11-22,2.463000,2.463000,2.453000,2.458000,2.458000,9728284
2013-11-25,2.457000,2.457000,2.433000,2.437000,2.437000,6220043
2013-11-26,2.449000,2.465000,2.449000,2.465000,2.465000,8938921
2013-11-27,2.450000,2.460000,2.446000,2.453000,2.453000,5079390
2013-11-28,2.446000,2.448000,2.439000,2.440000,2.440000,11876280
2013-11-29,2.440000,2.446000,2.440000,2.443000,2.443000,5352364
2013-12-02,2.444000,2.454000,2.444000,2.450000,2.450000,4013860
2013-12-03,2.421000,2.423000,2.404000,2.411000,2.411000,7018050
2013-12-04,2.411000,2.411000,2.404000,2.408000,2.408000,9073977
2013-12-05,2.431000,2.435000,2.410000,2.429000,2.429000,11311219
2013-12-06,2.416000,2.420000,2.411000,2.418000,2.418000,6066461
2013-12-09,2.424000,2.427000,2.417000,2.425000,2.425000,5340691
2013-12-10,2.430000,2.445000,2.424000,2.445000,2.445000,5382939
2013-12-11,2.461000,2.465000,2.450000,2.462000,2.462000,5159406
2013-12-12,2.454000,2.456000,2.448000,2.450000,2.450000,3571456
2013-12-13,2.415000,2.415000,2.404000,2.410000,2.410000,7463546
2013-12-16,2.412000,2.417000,2.409000,2.411000,2.411000,4697154
2013-12-17,2.419000,2.441000,2.417000,2.438000,2.438000,7037515
2013-12-18,2.420000,2.423000,2.411000,2.419000,2.419000,5882943
2013-12-19,2.413000,2.413000,2.393000,2.400000,2.400000,5242956
2013-12-20,2.371000,2.372000,2.342000,2.342000,2.342000,5200302
2013-12-23,2.355000,2.369000,2.354000,2.366000,2.366000,5651278
2013-12-24,2.357000,2.370000,2.355000,2.366000,2.366000,5956602
2013-12-25,2.361000,2.380000,2.361000,2.376000,2.376000,5292706
2013-12-26,2.376000,2.382000,2.369000,2.377000,2.377000,3120847
2013-12-27,2.380000,2.405000,2.380000,2.401000,2.401000,2678399
2013-12-30,2.402000,2.402000,2.375000,2.377000,2.377000,2035076
2013-12-31,2.366000,2.380000,2.366000,2.376000,2.376000,4401338
2014-01-02,2.389000,2.408000,2.381000,2.403000,2.403000,3141513
2014-01-03,2.413000,2.425000,2.411000,2.424000,2.424000,3824667
2014-01-06,2.437000,2.445000,2.410000,2.435000,2.435000,4816721
2014-01-07,2.430000,2.445000,2.430000,2.442000,2.442000,5129854
2014-01-08,2.415000,2.422000,2.410000,2.411000,2.411000,2095733
2014-01-09,2.410000,2.420000,2.410000,2.412000,2.412000,2028533
2014-01-10,2.414000,2.432000,2.414000,2.428000,2.428000,2530411
2014-01-13,2.451000,2.458000,2.446000,2.448000,2.448000,2339667
2014-01-14,2.449000,2.457000,2.449000,2.455000,2.455000,1755747
2014-01-15,2.440000,2.442000,2.427000,2.434000,2.434000,1803048
2014-01-16,2.432000,2.439000,2.430000,2.437000,2.437000,2087118
2014-01-17,2.434000,2.438000,2.434000,2.435000,2.435000,2566126
2014-01-20,2.436000,2.461000,2.436000,2.459000,2.459000,1958602
2014-01-21,2.456000,2.457000,2.451000,2.451000,2.451000,1958163
2014-01-22,2.439000,2.439000,2.428000,2.432000,2.432000,1528407
2014-01-23,2.428000,2.428000,2.415000,2.426000,2.426000,2698497
2014-01-24,2.458000,2.469000,2.458000,2.460000,2.460000,3387500
2014-01-27,2.470000,2.487000,2.470000,2.476000,2.476000,3390378
2014-01-28,2.468000,2.470000,2.442000,2.463000,2.463000,5135338
2014-01-29,2.452000,2.464000,2.450000,2.455000,2.455000,4412360
2014-01-30,2.465000,2.474000,2.459000,2.461000,2.461000,3317500
2014-02-07,2.461000,2.486000,2.414000,2.480000,2.480000,5862077
2014-02-10,2.490000,2.501000,2.485000,2.501000,2.501000,4295022
2014-02-11,2.508000,2.524000,2.508000,2.515000,2.515000,3289786
2014-02-12,2.519000,2.521000,2.509000,2.521000,2.521000,2803470
2014-02-13,2.523000,2.523000,2.514000,2.517000,2.517000,2973473
2014-02-14,2.531000,2.553000,2.531000,2.552000,2.552000,3616930
2014-02-17,2.592000,2.600000,2.582000,2.596000,2.596000,3716180
2014-02-18,2.596000,2.596000,2.558000,2.570000,2.570000,6234395
2014-02-19,2.568000,2.576000,2.568000,2.575000,2.575000,2882495
2014-02-20,2.563000,2.573000,2.556000,2.566000,2.566000,3261330
2014-02-21,2.566000,2.587000,2.566000,2.582000,2.582000,2998713
2014-02-24,2.570000,2.599000,2.570000,2.599000,2.599000,4063549
2014-02-25,2.609000,2.618000,2.608000,2.612000,2.612000,2705128
2014-02-26,2.617000,2.652000,2.617000,2.651000,2.651000,3659818
2014-02-27,2.612000,2.614000,2.595000,2.602000,2.602000,7466620
2014-02-28,2.611000,2.625000,2.611000,2.621000,2.621000,2955879
2014-03-03,2.643000,2.654000,2.643000,2.651000,2.651000,2562590
2014-03-04,2.675000,2.704000,2.640000,2.643000,2.643000,5511249
2014-03-05,2.626000,2.637000,2.621000,2.624000,2.624000,3253788
2014-03-06,2.624000,2.650000,2.618000,2.623000,2.623000,3220321
2014-03-07,2.648000,2.652000,2.642000,2.649000,2.649000,1664309
2014-03-10,2.625000,2.625000,2.600000,2.610000,2.610000,5192927
2014-03-11,2.615000,2.642000,2.615000,2.641000,2.641000,2781444
2014-03-12,2.651000,2.678000,2.651000,2.668000,2.668000,2780065
2014-03-13,2.689000,2.704000,2.689000,2.694000,2.694000,3129330
2014-03-14,2.705000,2.710000,2.690000,2.692000,2.692000,2321601
2014-03-17,2.701000,2.722000,2.701000,2.722000,2.722000,2618133
2014-03-18,2.704000,2.704000,2.673000,2.686000,2.686000,3829756
2014-03-19,2.670000,2.684000,2.668000,2.680000,2.680000,2212494
2014-03-20,2.640000,2.652000,2.638000,2.647000,2.647000,1557214
