"日期","收盘","开盘","高","低","涨跌幅"
"2024年5月7日","0.489","0.489","0.489","0.489","0.20%"
"2024年5月6日","0.488","0.488","0.488","0.488","-1.41%"
"2024年5月3日","0.495","0.495","0.495","0.495","0.00%"
"2024年5月2日","0.495","0.495","0.495","0.495","0.00%"
"2024年5月1日","0.495","0.495","0.495","0.495","0.00%"
"2024年4月30日","0.495","0.495","0.495","0.495","-0.40%"
"2024年4月29日","0.497","0.497","0.497","0.497","-0.80%"
"2024年4月26日","0.501","0.501","0.501","0.501","1.21%"
"2024年4月25日","0.495","0.495","0.495","0.495","-0.20%"
"2024年4月24日","0.496","0.496","0.496","0.496","1.02%"
"2024年4月23日","0.491","0.491","0.491","0.491","-1.60%"
"2024年4月22日","0.499","0.499","0.499","0.499","-0.20%"
"2024年4月19日","0.500","0.500","0.500","0.500","1.63%"
"2024年4月18日","0.492","0.492","0.492","0.492","-1.99%"
"2024年4月17日","0.502","0.502","0.502","0.502","-1.38%"
"2024年4月16日","0.509","0.509","0.509","0.509","1.39%"
"2024年4月15日","0.502","0.502","0.502","0.502","-1.57%"
"2024年4月12日","0.510","0.510","0.510","0.510","1.39%"
"2024年4月11日","0.503","0.503","0.503","0.503","0.20%"
"2024年4月10日","0.502","0.502","0.502","0.502","-0.20%"
"2024年4月9日","0.503","0.503","0.503","0.503","-0.20%"
"2024年4月8日","0.504","0.504","0.504","0.504","2.23%"
"2024年4月5日","0.493","0.493","0.493","0.493","0.00%"
"2024年4月4日","0.493","0.493","0.493","0.493","0.00%"
"2024年4月3日","0.493","0.493","0.493","0.493","1.23%"
"2024年4月2日","0.487","0.487","0.487","0.487","0.21%"
"2024年4月1日","0.486","0.486","0.486","0.486","1.04%"
"2024年3月29日","0.481","0.481","0.481","0.481","1.48%"
"2024年3月28日","0.474","0.474","0.474","0.474","0.00%"
"2024年3月27日","0.474","0.474","0.474","0.474","-0.84%"
"2024年3月26日","0.478","0.478","0.478","0.478","-0.62%"
"2024年3月25日","0.481","0.481","0.481","0.481","1.91%"
"2024年3月22日","0.472","0.472","0.472","0.472","-1.87%"
"2024年3月21日","0.481","0.481","0.481","0.481","1.69%"
"2024年3月20日","0.473","0.473","0.473","0.473","0.42%"
"2024年3月19日","0.471","0.471","0.471","0.471","-0.42%"
"2024年3月18日","0.473","0.473","0.473","0.473","0.00%"
"2024年3月15日","0.473","0.473","0.473","0.473","0.85%"
"2024年3月14日","0.469","0.469","0.469","0.469","0.86%"
"2024年3月13日","0.465","0.465","0.465","0.465","-0.64%"
"2024年3月12日","0.468","0.468","0.468","0.468","-0.43%"
"2024年3月11日","0.470","0.470","0.470","0.470","1.51%"
"2024年3月8日","0.463","0.463","0.463","0.463","0.87%"
"2024年3月7日","0.459","0.459","0.459","0.459","0.88%"
"2024年3月6日","0.455","0.455","0.455","0.455","0.44%"
"2024年3月5日","0.453","0.453","0.453","0.453","0.67%"
"2024年3月4日","0.450","0.450","0.450","0.450","0.67%"
"2024年3月1日","0.447","0.447","0.447","0.447","-0.22%"
"2024年2月29日","0.448","0.448","0.448","0.448","0.45%"
"2024年2月28日","0.446","0.446","0.446","0.446","0.00%"
"2024年2月27日","0.446","0.446","0.446","0.446","0.00%"
"2024年2月26日","0.446","0.446","0.446","0.446","-1.33%"
"2024年2月23日","0.452","0.452","0.452","0.452","-0.44%"
"2024年2月22日","0.454","0.454","0.454","0.454","0.00%"
"2024年2月21日","0.454","0.454","0.454","0.454","-0.22%"
"2024年2月20日","0.455","0.455","0.455","0.455","0.22%"
"2024年2月19日","0.454","0.454","0.454","0.454","0.44%"
"2024年2月16日","0.452","0.452","0.452","0.452","0.00%"
"2024年2月15日","0.452","0.452","0.452","0.452","0.00%"
"2024年2月14日","0.452","0.452","0.452","0.452","0.00%"
"2024年2月13日","0.452","0.452","0.452","0.452","0.00%"
"2024年2月12日","0.452","0.452","0.452","0.452","0.00%"
"2024年2月9日","0.452","0.452","0.452","0.452","0.00%"
"2024年2月8日","0.452","0.452","0.452","0.452","-0.44%"
"2024年2月7日","0.454","0.454","0.454","0.454","0.44%"
"2024年2月6日","0.452","0.452","0.452","0.452","-0.44%"
"2024年2月5日","0.454","0.454","0.454","0.454","-0.66%"
"2024年2月2日","0.457","0.457","0.457","0.457","-1.30%"
"2024年2月1日","0.463","0.463","0.463","0.463","-1.28%"
"2024年1月31日","0.469","0.469","0.469","0.469","0.64%"
"2024年1月30日","0.466","0.466","0.466","0.466","-0.85%"
"2024年1月29日","0.470","0.470","0.470","0.470","1.51%"
"2024年1月26日","0.463","0.463","0.463","0.463","1.09%"
"2024年1月25日","0.458","0.458","0.458","0.458","0.88%"
"2024年1月24日","0.454","0.454","0.454","0.454","0.22%"
"2024年1月23日","0.453","0.453","0.453","0.453","0.67%"
"2024年1月22日","0.450","0.450","0.450","0.450","-0.44%"
"2024年1月19日","0.452","0.452","0.452","0.452","0.44%"
"2024年1月18日","0.450","0.450","0.450","0.450","0.90%"
"2024年1月17日","0.446","0.446","0.446","0.446","-0.89%"
"2024年1月16日","0.450","0.450","0.450","0.450","-2.17%"
"2024年1月15日","0.460","0.460","0.460","0.460","0.00%"
"2024年1月12日","0.460","0.460","0.460","0.460","2.45%"
"2024年1月11日","0.449","0.449","0.449","0.449","0.22%"
"2024年1月10日","0.448","0.448","0.448","0.448","0.67%"
"2024年1月9日","0.445","0.445","0.445","0.445","-0.45%"
"2024年1月8日","0.447","0.447","0.447","0.447","0.00%"
"2024年1月5日","0.447","0.447","0.447","0.447","-0.67%"
"2024年1月4日","0.450","0.450","0.450","0.450","1.35%"
"2024年1月3日","0.444","0.444","0.444","0.444","-2.42%"
"2024年1月2日","0.455","0.455","0.455","0.455","0.44%"
"2024年1月1日","0.453","0.453","0.453","0.453","0.00%"
"2023年12月29日","0.453","0.453","0.453","0.453","-0.22%"
"2023年12月28日","0.454","0.454","0.454","0.454","-0.44%"
"2023年12月27日","0.456","0.456","0.456","0.456","1.33%"
"2023年12月26日","0.450","0.450","0.450","0.450","0.22%"
"2023年12月25日","0.449","0.449","0.449","0.449","-0.22%"
"2023年12月22日","0.450","0.450","0.450","0.450","0.00%"
"2023年12月21日","0.450","0.450","0.450","0.450","0.45%"
"2023年12月20日","0.448","0.448","0.448","0.448","-0.22%"
"2023年12月19日","0.449","0.449","0.449","0.449","-0.66%"
"2023年12月18日","0.452","0.452","0.452","0.452","-0.44%"
"2023年12月15日","0.454","0.454","0.454","0.454","0.22%"
"2023年12月14日","0.453","0.453","0.453","0.453","2.26%"
"2023年12月13日","0.443","0.443","0.443","0.443","-2.42%"
"2023年12月12日","0.454","0.454","0.454","0.454","-1.30%"
"2023年12月11日","0.460","0.460","0.460","0.460","-0.43%"
"2023年12月8日","0.462","0.462","0.462","0.462","0.65%"
"2023年12月7日","0.459","0.459","0.459","0.459","0.22%"
"2023年12月6日","0.458","0.458","0.458","0.458","-2.97%"
"2023年12月5日","0.472","0.472","0.472","0.472","0.21%"
"2023年12月4日","0.471","0.471","0.471","0.471","0.00%"
"2023年12月1日","0.471","0.471","0.471","0.471","-1.26%"
"2023年11月30日","0.477","0.477","0.477","0.477","0.42%"
"2023年11月29日","0.475","0.475","0.475","0.475","0.21%"
"2023年11月28日","0.474","0.474","0.474","0.474","0.42%"
"2023年11月27日","0.472","0.472","0.472","0.472","-0.42%"
"2023年11月24日","0.474","0.474","0.474","0.474","-0.42%"
"2023年11月23日","0.476","0.476","0.476","0.476","-1.24%"
"2023年11月22日","0.482","0.482","0.482","0.482","-1.03%"
"2023年11月21日","0.487","0.487","0.487","0.487","-1.02%"
"2023年11月20日","0.492","0.492","0.492","0.492","1.86%"
"2023年11月17日","0.483","0.483","0.483","0.483","-1.83%"
"2023年11月16日","0.492","0.492","0.492","0.492","-1.60%"
"2023年11月15日","0.500","0.500","0.500","0.500","0.00%"
"2023年11月14日","0.500","0.500","0.500","0.500","0.40%"
"2023年11月13日","0.498","0.498","0.498","0.498","-0.40%"
"2023年11月10日","0.500","0.500","0.500","0.500","0.81%"
"2023年11月9日","0.496","0.496","0.496","0.496","-1.59%"
"2023年11月8日","0.504","0.504","0.504","0.504","-1.56%"
"2023年11月7日","0.512","0.512","0.512","0.512","-1.16%"
"2023年11月6日","0.518","0.518","0.518","0.518","-1.52%"
"2023年11月3日","0.526","0.526","0.526","0.526","0.77%"
"2023年11月2日","0.522","0.522","0.522","0.522","-0.19%"
"2023年11月1日","0.523","0.523","0.523","0.523","-0.95%"
