"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-9-27","1.920","1.925","1.934","1.920","80.68M","-1.44%"
"2024-9-26","1.948","1.949","1.955","1.938","165.03M","0.15%"
"2024-9-25","1.945","1.951","1.954","1.938","123.93M","-0.77%"
"2024-9-24","1.960","1.977","1.978","1.950","120.83M","-0.71%"
"2024-9-23","1.974","1.974","1.979","1.969","67.19M","0.20%"
"2024-9-20","1.970","1.986","1.989","1.967","125.65M","0.25%"
"2024-9-19","1.965","1.944","1.967","1.942","101.27M","1.29%"
"2024-9-18","1.940","1.950","1.954","1.935","91.85M","-0.10%"
"2024-9-13","1.942","1.944","1.950","1.939","131.10M","0.52%"
"2024-9-12","1.932","1.927","1.937","1.923","131.88M","1.68%"
"2024-9-11","1.900","1.908","1.910","1.893","79.03M","0.26%"
"2024-9-10","1.895","1.920","1.927","1.894","167.88M","-0.52%"
"2024-9-9","1.905","1.894","1.906","1.884","145.97M","-0.73%"
"2024-9-6","1.919","1.920","1.925","1.912","88.56M","-0.42%"
"2024-9-5","1.927","1.933","1.940","1.923","82.54M","0.42%"
"2024-9-4","1.919","1.925","1.943","1.917","179.90M","-3.95%"
"2024-9-3","1.998","2.001","2.011","1.992","105.95M","0.00%"
"2024-9-2","1.998","1.990","2.004","1.990","108.76M","1.01%"
"2024-8-30","1.978","1.977","1.983","1.972","76.51M","0.20%"
"2024-8-29","1.974","1.971","1.981","1.961","138.12M","-1.15%"
"2024-8-28","1.997","1.982","2.008","1.975","222.78M","0.96%"
"2024-8-27","1.978","1.971","1.980","1.962","66.12M","0.05%"
"2024-8-26","1.977","1.988","1.993","1.970","85.18M","0.66%"
"2024-8-23","1.964","1.950","1.965","1.948","89.44M","-0.36%"
"2024-8-22","1.971","1.978","1.993","1.963","148.46M","0.15%"
"2024-8-21","1.968","1.957","1.969","1.948","68.98M","0.10%"
"2024-8-20","1.966","1.968","1.974","1.962","84.26M","1.24%"
"2024-8-19","1.942","1.978","1.978","1.941","139.77M","-1.62%"
"2024-8-16","1.974","1.994","1.996","1.962","195.75M","1.39%"
"2024-8-15","1.947","1.936","1.957","1.930","119.85M","1.30%"
"2024-8-14","1.922","1.914","1.925","1.910","127.13M","1.91%"
"2024-8-13","1.886","1.862","1.891","1.861","117.20M","1.34%"
"2024-8-12","1.861","1.842","1.861","1.841","135.18M","1.42%"
"2024-8-9","1.835","1.836","1.847","1.830","128.51M","2.00%"
"2024-8-8","1.799","1.793","1.802","1.782","106.88M","-0.66%"
"2024-8-7","1.811","1.807","1.826","1.803","179.09M","0.44%"
