"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-10-6","493.36","485.39","494.47","480.87","124.64M","1.24%"
"2024-9-29","487.32","485.78","488.41","477.40","152.89M","0.12%"
"2024-9-22","486.75","482.95","493.70","480.17","132.22M","0.89%"
"2024-9-15","482.44","473.19","486.23","469.89","179.94M","1.49%"
"2024-9-8","475.34","453.06","476.53","449.82","189.79M","5.94%"
"2024-9-1","448.69","473.20","473.33","448.19","162.57M","-5.79%"
"2024-8-25","476.27","479.45","480.38","467.89","166.88M","-0.78%"
"2024-8-18","480.00","475.17","485.54","473.37","152.41M","1.05%"
"2024-8-11","475.03","451.39","476.41","448.55","179.28M","5.47%"
"2024-8-4","450.41","424.71","452.06","423.45","287.04M","0.37%"
"2024-7-28","448.75","465.71","475.55","444.47","237.06M","-3.07%"
"2024-7-21","462.97","481.16","484.43","455.63","221.65M","-2.58%"
"2024-7-14","475.24","496.61","501.01","473.94","204.76M","-3.96%"
"2024-7-7","494.82","496.53","503.52","490.73","162.93M","-0.27%"
"2024-6-30","496.16","480.04","496.60","476.25","98.18M","3.56%"
"2024-6-23","479.11","478.18","487.20","473.82","150.84M","-0.22%"
"2024-6-16","480.18","479.46","486.86","478.14","134.84M","0.21%"
"2024-6-9","479.19","461.82","479.26","461.53","126.54M","3.51%"
"2024-6-2","462.96","454.57","465.74","447.90","138.38M","2.72%"
"2024-5-26","450.71","459.18","459.74","443.06","142.61M","-1.58%"
"2024-5-19","457.95","451.98","460.58","451.79","143.33M","1.37%"
"2024-5-12","451.76","443.99","454.69","441.65","169.52M","2.19%"
"2024-5-5","442.06","437.30","444.31","436.52","137.82M","1.51%"
"2024-4-28","435.48","433.13","436.48","420.63","211.01M","1.04%"
"2024-4-21","431.00","417.31","432.55","413.94","239.90M","3.94%"
"2024-4-14","414.65","442.06","442.15","413.07","289.73M","-5.39%"
"2024-4-7","438.27","441.41","446.33","436.28","228.31M","-0.50%"
"2024-3-31","440.47","444.97","447.53","435.11","234.95M","-0.80%"
"2024-3-24","444.01","443.55","447.23","441.93","140.13M","-0.53%"
"2024-3-17","446.38","438.73","449.34","433.33","201.58M","2.87%"
"2024-3-10","433.92","437.51","444.02","432.74","264.35M","-1.16%"
"2024-3-3","439.02","445.61","448.64","433.65","255.10M","-1.48%"
"2024-2-25","445.61","437.60","446.58","434.30","186.04M","2.02%"
"2024-2-18","436.78","428.55","440.59","421.63","197.92M","1.44%"
"2024-2-11","430.57","436.94","439.14","425.33","235.30M","-1.48%"
"2024-2-4","437.05","429.07","437.85","425.00","180.28M","1.87%"
"2024-1-28","429.01","424.27","430.24","416.79","250.06M","1.23%"
"2024-1-21","423.81","423.41","429.85","420.57","206.34M","0.62%"
"2024-1-14","421.18","408.31","421.34","402.92","228.18M","2.84%"
"2024-1-7","409.56","397.99","411.25","397.84","209.70M","3.23%"
"2023-12-31","396.75","405.84","406.09","395.34","189.39M","-3.12%"
"2023-12-24","409.52","409.04","412.92","407.58","124.39M","0.33%"
"2023-12-17","408.17","404.72","410.25","402.69","216.25M","0.75%"
"2023-12-10","405.13","391.53","406.33","391.32","254.17M","3.36%"
"2023-12-3","391.96","385.89","392.41","382.46","232.40M","0.57%"
"2023-11-26","389.74","388.81","393.93","385.62","201.77M","0.11%"
"2023-11-19","389.31","385.85","392.86","385.85","147.77M","0.90%"
"2023-11-12","385.84","376.59","387.55","375.04","254.63M","2.02%"
"2023-11-5","378.19","368.30","378.34","366.72","237.52M","2.90%"
"2023-10-29","367.52","347.65","368.83","346.27","273.41M","6.49%"
"2023-10-22","345.13","353.07","359.72","342.17","321.04M","-2.62%"
