"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-9-27","5,800.25","5,804.75","5,808.75","5,790.75","104.90K","-0.07%"
"2024-9-26","5,804.50","5,783.50","5,830.00","5,778.25","","0.44%"
"2024-9-25","5,779.00","5,792.25","5,798.75","5,768.00","1.04M","-0.22%"
"2024-9-24","5,792.00","5,774.00","5,794.25","5,754.75","1.18M","0.26%"
"2024-9-23","5,776.75","5,762.00","5,784.50","5,745.25","1.08M","0.26%"
"2024-9-20","5,762.00","5,776.00","5,776.75","5,733.50","1.62M","-0.28%"
"2024-9-19","5,778.00","5,693.00","5,797.50","5,691.00","1.74M","1.73%"
"2024-9-18","5,680.00","5,701.00","5,755.75","5,675.25","1.74M","-0.36%"
"2024-9-17","5,700.25","5,694.25","5,737.00","5,677.75","1.77M","0.02%"
"2024-9-16","5,699.25","5,684.00","5,702.75","5,669.50","","0.14%"
"2024-9-13","5,691.00","5,659.00","5,702.25","5,658.00","904.27K","0.50%"
"2024-9-12","5,662.50","5,617.50","5,667.00","5,600.25","264.61K","0.74%"
"2024-9-11","5,621.00","5,557.50","5,627.00","5,470.00","136.53K","1.05%"
"2024-9-10","5,562.50","5,546.25","5,564.50","5,506.50","59.27K","0.44%"
"2024-9-9","5,538.00","5,463.50","5,552.00","5,463.00","48.25K","2.19%"
"2024-9-6","5,419.50","5,513.00","5,532.50","5,394.00","2.38M","-1.68%"
"2024-9-5","5,512.25","5,527.50","5,557.25","5,490.00","1.74M","-0.32%"
"2024-9-4","5,530.00","5,538.50","5,565.00","5,506.75","1.75M","-0.21%"
"2024-9-3","5,541.75","5,656.25","5,669.75","5,516.75","1.91M","-2.11%"
"2024-8-30","5,661.00","5,618.50","5,665.00","5,594.25","1.56M","0.91%"
"2024-8-29","5,610.00","5,580.50","5,663.75","5,561.25","1.57M","0.00%"
"2024-8-28","5,610.25","5,643.75","5,650.50","5,576.00","1.38M","-0.61%"
"2024-8-27","5,644.75","5,630.00","5,649.50","5,611.50","1.03M","0.14%"
"2024-8-26","5,637.00","5,650.50","5,669.00","5,619.75","1.09M","-0.27%"
"2024-8-23","5,652.50","5,597.75","5,662.25","5,597.75","1.42M","1.05%"
"2024-8-22","5,594.00","5,642.00","5,665.25","5,582.75","1.41M","-0.84%"
"2024-8-21","5,641.50","5,619.50","5,655.25","5,613.50","1.09M","0.39%"
"2024-8-20","5,619.75","5,629.50","5,643.75","5,607.75","1.02M","-0.18%"
"2024-8-19","5,630.00","5,584.00","5,631.75","5,565.25","1.01M","0.93%"
"2024-8-16","5,578.25","5,568.50","5,586.25","5,536.50","1.18M","0.19%"
"2024-8-15","5,567.50","5,481.25","5,571.75","5,471.75","1.44M","1.65%"
"2024-8-14","5,477.00","5,457.50","5,487.75","5,438.75","1.30M","0.33%"
"2024-8-13","5,459.00","5,372.50","5,461.25","5,367.50","1.27M","1.66%"
"2024-8-12","5,369.75","5,364.25","5,396.75","5,347.75","1.22M","-0.01%"
"2024-8-9","5,370.25","5,348.25","5,385.25","5,319.50","1.41M","0.41%"
"2024-8-8","5,348.25","5,208.25","5,361.00","5,182.00","1.91M","2.31%"
"2024-8-7","5,227.50","5,241.50","5,359.25","5,196.75","2.25M","-0.74%"
"2024-8-6","5,266.25","5,250.00","5,342.00","5,221.75","2.17M","0.93%"
"2024-8-5","5,217.50","5,330.00","5,345.50","5,120.00","3.44M","-2.62%"
"2024-8-3","5,358.00","5,358.00","5,358.00","5,358.00","","-0.33%"
"2024-8-2","5,376.00","5,464.25","5,473.25","5,331.75","3.24M","-1.90%"
"2024-8-1","5,480.25","5,574.75","5,600.75","5,444.75","2.75M","-1.40%"
"2024-7-31","5,558.00","5,454.75","5,588.50","5,451.50","2.16M","1.56%"
"2024-7-30","5,472.50","5,504.50","5,527.50","5,433.00","2.05M","-0.55%"
